Date|Other|Queens Gambit
2020.10.01|1980538|197372
2020.10.02|2004011|198981
2020.10.03|1974693|193697
2020.10.04|2009077|199239
2020.10.05|1974798|197748
2020.10.06|1987409|197749
2020.10.07|1987704|197715
2020.10.08|2000911|199668
2020.10.09|1977413|196623
2020.10.10|1981815|195257
2020.10.11|2060144|203224
2020.10.12|1998860|202583
2020.10.13|2003056|201917
2020.10.14|2032505|204910
2020.10.15|2032453|204175
2020.10.16|2035803|202494
2020.10.17|2042596|200192
2020.10.18|2061417|205612
2020.10.19|2024107|205348
2020.10.20|2052869|205791
2020.10.21|2033769|204434
2020.10.22|2076294|205990
2020.10.23|2063104|203975
2020.10.24|2180625|217558
2020.10.25|2136079|214284
2020.10.26|2108924|212763
2020.10.27|2143324|215576
2020.10.28|2150978|215783
2020.10.29|2189905|218118
2020.10.30|2180898|219353
2020.10.31|2143158|213258
2020.11.01|2194904|223260
2020.11.02|2192008|226939
2020.11.03|2217131|227997
2020.11.04|2151295|217496
2020.11.05|2204893|225566
2020.11.06|2213750|226830
2020.11.07|2234757|225811
2020.11.08|2284897|232286
2020.11.09|2228713|232579
2020.11.10|2278219|234604
2020.11.11|2294873|236865
2020.11.12|2308089|233289
2020.11.13|2314527|237516
2020.11.14|2358536|241563
2020.11.15|2381258|244962
2020.11.16|2314406|239875
2020.11.17|2376079|241861
2020.11.18|2413307|246347
2020.11.19|2454857|247010
2020.11.20|2436497|243478
2020.11.21|2458905|244693
2020.11.22|2495238|249228
2020.11.23|2423922|243677
2020.11.24|2461082|248069
2020.11.25|2452993|247498
2020.11.26|2460754|247161
2020.11.27|2427447|242142
2020.11.28|2503685|251396
2020.11.29|2512623|253120
2020.11.30|2458286|249375
